epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,7882.77,0.95516,0.42423,1.08799,0.98563,0.96513,0.98794,0.71471,1.08093,0.35907,1.12611,0.003169,0.003169,0.003169
71,7990.85,0.94779,0.42096,1.07729,0.98763,0.96388,0.98794,0.71521,1.08066,0.35898,1.12593,0.00307,0.00307,0.00307
72,8099.18,0.94473,0.41869,1.07377,0.98703,0.96404,0.98798,0.71464,1.08077,0.35865,1.12594,0.002971,0.002971,0.002971
73,8207.93,0.93728,0.41431,1.07571,0.98751,0.96414,0.98803,0.71472,1.08063,0.3582,1.12577,0.002872,0.002872,0.002872
74,8315.76,0.93592,0.41513,1.06805,0.98751,0.96402,0.98809,0.71446,1.08022,0.35837,1.12548,0.002773,0.002773,0.002773
75,8423.57,0.93355,0.41195,1.06534,0.9876,0.96341,0.98804,0.71512,1.0804,0.35795,1.12535,0.002674,0.002674,0.002674
76,8532.01,0.93322,0.40869,1.06854,0.98642,0.96388,0.988,0.71493,1.0799,0.35772,1.12528,0.002575,0.002575,0.002575
77,8640.24,0.93028,0.40523,1.06915,0.98595,0.96388,0.98773,0.71509,1.07995,0.35756,1.12512,0.002476,0.002476,0.002476
78,8748.47,0.92349,0.40333,1.0649,0.98505,0.96435,0.98725,0.71492,1.07964,0.35783,1.1248,0.002377,0.002377,0.002377
79,8856.71,0.92204,0.40355,1.06374,0.97915,0.96998,0.98674,0.71447,1.08004,0.35735,1.12483,0.002278,0.002278,0.002278
80,8964.8,0.9177,0.39979,1.06074,0.9875,0.96336,0.98647,0.71498,1.08003,0.35728,1.12463,0.002179,0.002179,0.002179
81,9072.5,0.91777,0.39981,1.05658,0.98709,0.96295,0.98649,0.71536,1.07992,0.35641,1.12454,0.00208,0.00208,0.00208
82,9192.56,0.91654,0.39554,1.05949,0.98749,0.96285,0.98656,0.71592,1.0798,0.35631,1.12443,0.001981,0.001981,0.001981
83,9355.05,0.90889,0.39489,1.05215,0.98749,0.96281,0.98661,0.71615,1.07987,0.35593,1.12448,0.001882,0.001882,0.001882
84,9520.93,0.91065,0.39364,1.05489,0.98374,0.96512,0.98649,0.71711,1.07982,0.35576,1.1243,0.001783,0.001783,0.001783
85,9667.9,0.90252,0.39016,1.05168,0.97999,0.96998,0.98625,0.71745,1.07975,0.35535,1.12423,0.001684,0.001684,0.001684
86,9830.64,0.89875,0.38668,1.05019,0.98009,0.96961,0.98716,0.71645,1.07993,0.35523,1.12432,0.001585,0.001585,0.001585
87,9975.76,0.89755,0.38943,1.05515,0.98194,0.969,0.98555,0.71609,1.0797,0.35467,1.124,0.001486,0.001486,0.001486
88,10084.6,0.89563,0.38257,1.04968,0.98101,0.96933,0.98554,0.71599,1.07994,0.35468,1.12405,0.001387,0.001387,0.001387
89,10193.3,0.89167,0.38139,1.04981,0.98102,0.96992,0.98542,0.71671,1.07987,0.3545,1.12413,0.001288,0.001288,0.001288
90,10302.3,0.886,0.37848,1.04872,0.98065,0.97045,0.98601,0.71738,1.07966,0.35467,1.12392,0.001189,0.001189,0.001189
91,10430,0.87464,0.32152,1.0502,0.97996,0.96998,0.98571,0.71737,1.07968,0.35464,1.12388,0.00109,0.00109,0.00109
92,10537.8,0.8585,0.31639,1.04662,0.9801,0.97015,0.98581,0.71786,1.0795,0.35404,1.12373,0.000991,0.000991,0.000991
93,10646.9,0.853,0.31241,1.04374,0.98009,0.96985,0.98596,0.71821,1.07943,0.3537,1.12375,0.000892,0.000892,0.000892
94,10755.5,0.85099,0.31276,1.04184,0.98056,0.97025,0.9877,0.71768,1.07956,0.35374,1.12377,0.000793,0.000793,0.000793
95,10863.9,0.8412,0.30779,1.03853,0.98056,0.97004,0.9859,0.71763,1.07977,0.35363,1.1239,0.000694,0.000694,0.000694
96,10970.9,0.83708,0.30534,1.03571,0.98207,0.96998,0.98597,0.71763,1.07983,0.35377,1.12396,0.000595,0.000595,0.000595
97,11077.6,0.83024,0.30458,1.03376,0.98244,0.97069,0.98589,0.718,1.07981,0.35366,1.12403,0.000496,0.000496,0.000496
98,11185.6,0.82747,0.30239,1.02914,0.98245,0.97045,0.98598,0.71822,1.0804,0.35392,1.12426,0.000397,0.000397,0.000397
99,11342.2,0.82156,0.29868,1.0246,0.98281,0.97045,0.98627,0.71846,1.08047,0.35366,1.12441,0.000298,0.000298,0.000298
100,11486.6,0.81481,0.29543,1.02039,0.98267,0.97045,0.98634,0.71814,1.08048,0.35332,1.12475,0.000199,0.000199,0.000199
