frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
78,bus,0.67,1,1318,212,1507,391,,,,,,
78,car,0.54,2,1285,316,1318,355,,,,,,
79,bus,0.67,1,1318,212,1505,390,,,,,,
79,car,0.49,2,1285,313,1318,356,,,,,,
80,bus,0.57,1,1317,213,1503,390,,,,,,
80,car,0.43,2,1284,311,1318,355,,,,,,
81,bus,0.76,1,1317,214,1500,390,,,,,,
81,car,0.39,2,1284,311,1318,356,,,,,,
82,bus,0.78,1,1316,215,1499,390,,,,,,
82,car,0.37,2,1284,312,1317,356,,,,,,
83,bus,0.77,1,1316,215,1497,391,,,,,,
83,car,0.36,2,1284,313,1316,356,,,,,,
84,bus,0.77,1,1315,215,1495,390,,,,,,
84,car,0.38,2,1283,313,1315,355,,,,,,
85,bus,0.72,1,1314,215,1492,388,,,,,,
85,car,0.31,2,1284,310,1315,354,,,,,,
86,bus,0.69,1,1314,216,1489,388,,,,,,
86,car,0.34,2,1284,309,1315,354,,,,,,
87,bus,0.66,1,1316,216,1486,387,,,,,,
87,car,0.25,2,1284,308,1314,354,,,,,,
88,bus,0.5,1,1316,216,1485,386,,,,,,
88,car,0.24,2,1284,308,1314,353,,,,,,
89,bus,0.56,1,1315,216,1482,387,,,,,,
89,car,0.32,2,1284,308,1314,352,,,,,,
90,bus,0.58,1,1314,217,1480,385,,,,,,
90,car,0.35,2,1283,306,1314,351,,,,,,
91,car,0.31,2,1282,307,1313,352,,,,,,
92,car,0.12,2,1282,303,1313,349,,,,,,
93,car,0.28,2,1281,309,1312,352,,,,,,
93,bus,0.67,1,1314,220,1475,382,,,,,,
94,car,0.25,2,1280,310,1312,353,,,,,,
94,bus,0.51,1,1312,220,1472,382,,,,,,
95,car,0.29,2,1277,308,1312,352,,,,,,
96,car,0.26,2,1277,306,1312,352,,,,,,
96,person,0.76,3,0,236,50,490,,,,,,
97,car,0.1,2,1276,302,1311,351,,,,,,
97,person,0.79,3,0,234,57,488,,,,,,
97,car,0.72,4,1449,319,1514,381,,,,,,
97,bus,0.69,1,1310,223,1465,382,,,,,,
98,car,0.19,2,1274,304,1311,355,,,,,,
98,person,0.83,3,0,232,66,489,,,,,,
98,car,0.7,4,1449,320,1514,381,,,,,,
